,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.043474245071411136,0.01568327420963312,0.8785192012786865,0.13705927147855665,euclidean,1,"{'metric': 'euclidean', 'n_neighbors': 1}",0.7782262806457644,0.7763315946410527,0.7847424133592146,0.7671037930940869,0.7831938518544157,0.7779195867189068,0.006228418865524874,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,0.06995792388916015,0.010696155941962398,1.4418896675109862,0.1197089879573385,euclidean,2,"{'metric': 'euclidean', 'n_neighbors': 2}",0.7343447530287118,0.7490922331763148,0.7302036617285799,0.7246536604202382,0.730830325890382,0.7338249268488453,0.008240803184523235,13,0.8820098280223242,0.8864686259231568,0.8825083113417852,0.8901984710630639,0.8835850699916296,0.8849540612683919,0.0030437502990394425
2,0.05532360076904297,0.015446786379669487,1.2787312030792237,0.28293868501551867,euclidean,3,"{'metric': 'euclidean', 'n_neighbors': 3}",0.7615428571425426,0.7590981201748453,0.7392700502670522,0.7473813006461936,0.757769033238192,0.7530122722937651,0.008402281891289935,12,0.8811357258429937,0.881745561017537,0.883732488847476,0.8842688731071126,0.8792176370679646,0.8820200571766167,0.0018275964451140937
3,0.04967541694641113,0.01751559526971627,1.2070632934570313,0.4419059750993145,euclidean,4,"{'metric': 'euclidean', 'n_neighbors': 4}",0.7234042307501717,0.7320493913129326,0.7012648908072366,0.7423522161775269,0.7194684578190657,0.7237078373733867,0.01370361083566625,14,0.8469620148691841,0.8497977560778877,0.8380535377520747,0.8536239236879108,0.845608999912609,0.8468092464599332,0.005167153576123347
4,0.038880014419555665,0.00938650759768341,0.9517726421356201,0.05038026123272464,euclidean,5,"{'metric': 'euclidean', 'n_neighbors': 5}",0.7173436164663113,0.7291577348956998,0.6814808723488929,0.7403483296451537,0.7271879781553775,0.719103706302287,0.020180924231796137,15,0.8329130527804689,0.8328113207219793,0.8213859419094446,0.8376931763889724,0.8310849794081311,0.8311776942417992,0.005366912000828165
5,0.02882537841796875,0.0052138493989733374,0.9917590141296386,0.03058779132604096,euclidean,6,"{'metric': 'euclidean', 'n_neighbors': 6}",0.707624677791841,0.7339981545054591,0.6791558174980105,0.7259266711304077,0.6959179563194929,0.7085246554490422,0.01986955847155223,16,0.808267543188684,0.8164048810733813,0.7979577120895046,0.8145658583306442,0.8088518385632302,0.8092095666490888,0.006451077721679248
6,0.041910314559936525,0.0032171515314246227,0.9843156337738037,0.07637346424059382,euclidean,7,"{'metric': 'euclidean', 'n_neighbors': 7}",0.7059464405238112,0.7241664446286075,0.6758758696107466,0.7173537529734552,0.7112455239833994,0.7069176063440039,0.01667152681790343,17,0.7971127246182625,0.7960484061322837,0.7906791812515136,0.7982633138624905,0.7925954865116195,0.794939822475234,0.002851141217007179
7,0.039073610305786134,0.013241510355762922,0.9690780162811279,0.30378159779608815,euclidean,8,"{'metric': 'euclidean', 'n_neighbors': 8}",0.6866357210873734,0.6961201260610342,0.6790439469462334,0.7101828978447008,0.6916199059969533,0.692720519587259,0.0104093875021265,19,0.7811099296283673,0.7582621316428056,0.7742922583420833,0.7856827823202872,0.778737971280922,0.775617014642893,0.009425275672495062
8,0.02337493896484375,0.0003944024916059376,0.6645002365112305,0.013875117942409032,euclidean,9,"{'metric': 'euclidean', 'n_neighbors': 9}",0.6704414039503493,0.685306322961302,0.6796735519374161,0.7039358898408911,0.691444625380318,0.6861603588140552,0.011258654974100148,20,0.7696051920485782,0.76255543281978,0.7613110414177932,0.7703371725997474,0.7691230944263175,0.7665863866624433,0.0038391229133246203
9,0.023329973220825195,0.00014261018818336694,0.686578893661499,0.01265615025102118,euclidean,10,"{'metric': 'euclidean', 'n_neighbors': 10}",0.6467426383122452,0.6411011212404713,0.6567501654887131,0.6942094184324886,0.6695544950474076,0.6616715677042652,0.018926640873585487,22,0.7474094340792544,0.7225584695956097,0.7428381181339062,0.749187955537504,0.7518155201328923,0.7427618994958334,0.010517092845540622
10,0.025977945327758788,0.0040806489391109185,0.61911039352417,0.0071097740587067835,cityblock,1,"{'metric': 'cityblock', 'n_neighbors': 1}",0.8779751364150931,0.8637695222167509,0.8689068394240796,0.855319009427936,0.8624408093682026,0.8656822633704124,0.007524297355422966,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11,0.025436830520629884,0.004183226380718276,0.7571478843688965,0.010349491509388934,cityblock,2,"{'metric': 'cityblock', 'n_neighbors': 2}",0.8323644401885105,0.8369345440661847,0.8369070671220281,0.8313497091571295,0.8315276941630958,0.8338166909393898,0.0025575758315170708,4,0.9296111487510986,0.9307061462079833,0.9257728933895554,0.9335395420955144,0.9253266251338906,0.9289912711156084,0.0030919055331933435
12,0.030745983123779297,0.016390500034976403,0.8637064456939697,0.010227917646838731,cityblock,3,"{'metric': 'cityblock', 'n_neighbors': 3}",0.8587103960737826,0.8518552839473172,0.864710378194624,0.8495656414886574,0.846239824181683,0.8542163047772128,0.006650560345497259,2,0.9363432903528852,0.9389259620330591,0.9277718698273665,0.9389548407256106,0.9342439379855706,0.9352479801848984,0.004132030898331026
13,0.025261402130126953,0.004188232701744074,0.9165776252746582,0.008873892472679003,cityblock,4,"{'metric': 'cityblock', 'n_neighbors': 4}",0.8371157643658016,0.8422977276131185,0.8176847607460721,0.8389731623870675,0.8356570394470247,0.8343456909118169,0.008621228634738708,3,0.9107432756554115,0.9213110611402827,0.9049289935879146,0.9182483574383696,0.9168627985601464,0.9144188972764249,0.0058601673638357535
14,0.02313075065612793,0.0005465745920703351,0.9634740352630615,0.017511596646120803,cityblock,5,"{'metric': 'cityblock', 'n_neighbors': 5}",0.8246436453264251,0.843280489574251,0.8002721671060851,0.8399810459581231,0.8305473415325403,0.8277449378994849,0.015253198504411833,5,0.9039550194108292,0.9134689999422002,0.8945914612280309,0.9076807550521231,0.9094580433345927,0.9058308557935553,0.006399415834191166
15,0.02262701988220215,0.00022646761243308217,1.0038000106811524,0.013704094288443883,cityblock,6,"{'metric': 'cityblock', 'n_neighbors': 6}",0.8088227241597666,0.8338418547629831,0.7983366472208254,0.8350342836901138,0.8190193009221708,0.819010962151172,0.014198096841106261,6,0.8887909197368492,0.8996140072256616,0.8808466775471119,0.8909284883598145,0.8955779969336023,0.891151617960608,0.006372116488796718
16,0.022838449478149413,0.0002637358949650598,1.0331732749938964,0.013010704383755841,cityblock,7,"{'metric': 'cityblock', 'n_neighbors': 7}",0.8193281246887572,0.8070571672945253,0.7956045983967172,0.8251552164139824,0.8071541430104604,0.8108598499608884,0.010363247933390028,7,0.8837081066016327,0.8828240174709867,0.8762864400514978,0.8837656124120304,0.886760998660414,0.8826690350393124,0.0034579721298761993
17,0.023182153701782227,0.0006109561756742957,1.0933000087738036,0.015478172482591748,cityblock,8,"{'metric': 'cityblock', 'n_neighbors': 8}",0.8062895322581428,0.8003754605860154,0.7817847414653984,0.8238102276703941,0.802842683493301,0.8030205290946503,0.013422999972146219,8,0.8753373040687137,0.8583270225412103,0.8628786062859987,0.875439951004421,0.8723595245473215,0.868868481689533,0.006988822797731257
18,0.02264847755432129,0.00021638781974817577,1.1114445209503174,0.013528964271378703,cityblock,9,"{'metric': 'cityblock', 'n_neighbors': 9}",0.7991523542179443,0.8037102954246782,0.7720074338721643,0.821209615959878,0.7965067648081812,0.7985172928565691,0.015805865701292332,9,0.8507533671574095,0.8466994917587579,0.854939485364402,0.8673285819622895,0.8697583711747102,0.8578958594835138,0.00910834158092394
19,0.022809982299804688,0.0004170893559772464,1.1218030452728271,0.009997511371831363,cityblock,10,"{'metric': 'cityblock', 'n_neighbors': 10}",0.7895797933761227,0.7875823032477683,0.746075185510442,0.8073273281720446,0.7812637612879066,0.7823656743188568,0.020102510711461796,10,0.8388220378500524,0.834149616487987,0.8369747011502645,0.834946852063466,0.8414812929491348,0.8372749001001809,0.002659499980982829
20,0.023049449920654295,0.000853322038957226,0.2650892734527588,0.006654216528036018,chebyshev,1,"{'metric': 'chebyshev', 'n_neighbors': 1}",0.7085219499920793,0.6964678547263229,0.7017704111414256,0.7025802169557879,0.7159008772394917,0.7050482620110214,0.006637841627762016,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0
21,0.023706626892089844,0.0004291843403183784,0.34525394439697266,0.02440997368270336,chebyshev,2,"{'metric': 'chebyshev', 'n_neighbors': 2}",0.6567164208752269,0.6621249826171812,0.6421095398782299,0.6414233883898369,0.655881489223291,0.6516511641967532,0.008353482386950344,23,0.8387450124204313,0.8375590486502192,0.8390372506006186,0.8435522498813192,0.8371981893153452,0.8392183501735866,0.002274812686758873
22,0.02385258674621582,0.0012197164929241926,0.36272597312927246,0.01278640179719637,chebyshev,3,"{'metric': 'chebyshev', 'n_neighbors': 3}",0.6649183443997141,0.6766552453633619,0.6683305023785681,0.662020998744131,0.6709389774286064,0.6685728136628764,0.005045088150719705,21,0.8284310509197059,0.8267882282440201,0.8284023509699914,0.8350003891787808,0.8281905491468632,0.8293625136918722,0.002883595735053297
23,0.023557472229003906,0.00048652745609148495,0.38613300323486327,0.013305358781198337,chebyshev,4,"{'metric': 'chebyshev', 'n_neighbors': 4}",0.6334434764888106,0.6583161688262651,0.6506897413167049,0.6472875041344653,0.6477305700595094,0.6474934921651511,0.008060371160834003,24,0.779133637676939,0.7798577992538598,0.7743954908777254,0.7851268585803645,0.7772008425148269,0.7791429257807432,0.003539163959806463
24,0.024602985382080077,0.0024675914862386803,0.40732765197753906,0.00439169864562508,chebyshev,5,"{'metric': 'chebyshev', 'n_neighbors': 5}",0.6276227790688377,0.6439684045558234,0.6460882848101638,0.6419696945061092,0.6338948206755127,0.6387087967232893,0.006911265096199907,25,0.7631968683849166,0.7646346440712991,0.7575618410425179,0.7641329326141973,0.7566621625994117,0.7612376897424685,0.0034119619943153256
25,0.035695123672485354,0.01656650192397203,0.5321496963500977,0.128582155246995,chebyshev,6,"{'metric': 'chebyshev', 'n_neighbors': 6}",0.6184161638693445,0.6419919472007674,0.6287088528614553,0.639863514079915,0.6240332341446361,0.6306027424312236,0.009063485319529966,26,0.7302164600151785,0.7314557777020593,0.7300809147749535,0.7308576401120037,0.7318959425720452,0.730901347035248,0.0006986706327374463
26,0.023578882217407227,0.00021429509649280136,0.4463080883026123,0.008367452504445073,chebyshev,7,"{'metric': 'chebyshev', 'n_neighbors': 7}",0.6170924623766907,0.6255795538845377,0.6278009228076268,0.6323645931126575,0.6146999095501422,0.623507488346331,0.006631762093923201,27,0.7185294623450988,0.715660568285542,0.7091404739157058,0.7132705924103826,0.7156771295031371,0.7144556452919733,0.003136725858985754
27,0.023195314407348632,0.00016364335720273394,0.46337594985961916,0.006685796900887307,chebyshev,8,"{'metric': 'chebyshev', 'n_neighbors': 8}",0.5977641795998769,0.6138170940504724,0.6199307981816419,0.6109632948889702,0.606589221560177,0.6098129176562276,0.007420142963186643,28,0.6958161636722586,0.6913527534103503,0.6874516101327149,0.68594835443549,0.6877564246476083,0.6896650612596844,0.0035507896279799184
28,0.023300647735595703,0.0003466922596021092,0.4790661811828613,0.00765052937884247,chebyshev,9,"{'metric': 'chebyshev', 'n_neighbors': 9}",0.5885567260692983,0.6126776036989777,0.6237319079299849,0.6054900282275564,0.6032690537956517,0.6067450639442937,0.011560460997675309,29,0.6781953664715771,0.6764189495842352,0.6752708647122906,0.679961944341018,0.6810817803247956,0.6781857810867833,0.0021522123687287512
29,0.02341318130493164,0.0002723360992977707,0.496491813659668,0.012515000425114014,chebyshev,10,"{'metric': 'chebyshev', 'n_neighbors': 10}",0.5759706172370667,0.5822246525683573,0.5870527821576218,0.5940651986884855,0.5876301081525622,0.5853886717608188,0.006029696319055177,30,0.6539764790272532,0.6515258909238986,0.6481459265238693,0.6591749077986068,0.666142442155601,0.6557931292858458,0.0063013324665177495
